invoiceId,customerId,customerName,customerSegment,issueDate,dueDate,paidDate,amount,amountPaid,paymentMethod,attempts,previousLateInvoices,creditLimit,openBalance
INV-100091,CUST-01490,Importadora Carvalho Eireli,SMB,2026-01-01,2026-01-31,2026-02-02,2183.82,2183.82,BOLETO,1,1,15000.00,0.00
INV-100136,CUST-01454,Serviços Barros Ltda,SMB,2026-01-01,2026-01-16,2026-01-18,8889.05,8889.05,BOLETO,1,0,15000.00,0.00
INV-100152,CUST-01484,Gráfica Oliveira do Brasil,SMB,2026-01-01,2026-01-31,,2350.13,997.00,BOLETO,3,0,10000.00,0.00
INV-100172,CUST-01375,Mineração Pereira do Brasil,SMB,2026-01-01,2026-01-31,2026-01-31,674.51,674.51,BOLETO,1,0,10000.00,0.00
INV-100226,CUST-01025,Farma Pereira do Brasil,MID,2026-01-01,2026-01-16,,16043.27,12431.20,PIX,2,0,120000.00,0.00
INV-100298,CUST-01512,Logística Santos ME,SMB,2026-01-01,2026-01-31,,592.15,427.76,BOLETO,3,1,30000.00,0.00
INV-100509,CUST-01121,Logística Santos,SMB,2026-01-01,2026-01-31,2026-02-02,1912.86,1912.86,BOLETO,2,0,10000.00,0.00
INV-100579,CUST-01328,Tecnologia Vargas do Brasil,SMB,2026-01-01,2026-01-31,2026-03-09,330.15,330.15,BANK_TRANSFER,1,2,10000.00,0.00
INV-100674,CUST-01427,Tecnologia Costa ME,SMB,2026-01-01,2026-01-31,2026-01-30,2517.57,2517.57,BOLETO,1,1,15000.00,686.04
INV-100801,CUST-01240,Engenharia Pinto Ltda,SMB,2026-01-01,2026-01-31,2026-01-27,982.69,982.69,BOLETO,1,0,50000.00,0.00
INV-101111,CUST-01013,Mineração Rodrigues S.A.,MID,2026-01-01,2026-01-16,2026-01-17,10286.33,10286.33,PIX,1,0,120000.00,0.00
INV-101133,CUST-01031,Mineração Cardoso Comercial,MID,2026-01-01,2026-01-31,,19960.79,0.00,BOLETO,1,1,120000.00,0.00
INV-101142,CUST-01421,Madeireira Cardoso,SMB,2026-01-01,2026-01-31,2026-02-02,787.22,787.22,BOLETO,2,0,15000.00,340.28
INV-101144,CUST-01149,Soluções Pinto Comercial,SMB,2026-01-01,2026-01-31,,1263.77,900.41,BOLETO,1,1,5000.00,0.00
INV-101258,CUST-01312,Varejo Fernandes S.A.,SMB,2026-01-01,2026-02-15,2026-02-13,297.88,297.88,PIX,2,1,30000.00,216.42
INV-101329,CUST-01116,Editora Souza Eireli,SMB,2026-01-01,2026-01-31,2026-02-02,3017.43,3017.43,BOLETO,1,1,10000.00,964.83
INV-101439,CUST-01432,Varejo Souza ME,SMB,2026-01-01,2026-01-31,2026-01-26,1127.60,1127.60,BOLETO,1,1,15000.00,0.00
INV-101480,CUST-01453,Tecnologia Ribeiro,SMB,2026-01-01,2026-01-16,2026-01-14,2511.46,2511.46,BOLETO,1,0,50000.00,835.68
INV-101492,CUST-01001,Agro Barros ME,SMB,2026-01-01,2026-01-31,2026-01-27,2167.15,2167.15,BOLETO,1,0,10000.00,0.00
INV-101645,CUST-01216,Distribuidora Teixeira Comercial,SMB,2026-01-01,2026-01-31,,3646.16,2466.28,CREDIT_CARD,2,3,5000.00,0.00
INV-101658,CUST-01365,Exportadora Fernandes,SMB,2026-01-01,2026-01-31,,2808.96,1561.30,BOLETO,3,9,20000.00,0.00
INV-101673,CUST-01315,Soluções Cardoso Eireli,SMB,2026-01-01,2026-02-15,,914.01,231.31,BOLETO,3,0,5000.00,499.35
INV-101716,CUST-01247,Atacadista Pinto Eireli,SMB,2026-01-01,2026-01-31,,1944.11,450.34,PIX,6,0,10000.00,761.46
INV-101943,CUST-01192,Varejo Castro Comercial,SMB,2026-01-01,2026-01-31,2026-01-26,853.48,853.48,BOLETO,1,0,30000.00,0.00
INV-102004,CUST-01518,Alimentos Moreira do Brasil,SMB,2026-01-01,2026-01-31,2026-03-24,3406.98,3406.98,CREDIT_CARD,1,2,30000.00,1612.28
INV-102158,CUST-01337,Tecnologia Vargas Comercial,SMB,2026-01-01,2026-02-15,2026-02-14,3313.50,3313.50,BOLETO,1,1,10000.00,992.21
INV-102197,CUST-01294,Têxtil Almeida Eireli,SMB,2026-01-01,2026-01-16,2026-01-15,3006.43,3006.43,BOLETO,1,0,50000.00,1496.02
INV-102259,CUST-01480,Madeireira Pinto do Brasil,SMB,2026-01-01,2026-01-16,,667.81,496.62,PIX,1,0,15000.00,0.00
INV-102301,CUST-01184,Serviços Oliveira,SMB,2026-01-01,2026-01-31,,3243.70,0.00,BANK_TRANSFER,3,0,20000.00,18.26
INV-102332,CUST-01040,Indústria Pereira S.A.,SMB,2026-01-01,2026-01-31,2026-02-10,2781.11,2781.11,BOLETO,3,0,10000.00,0.00
INV-102374,CUST-01402,Mineração Castro ME,MID,2026-01-01,2026-01-16,2026-01-15,13128.70,13128.70,PIX,1,0,200000.00,0.00
INV-102528,CUST-01133,Comércio Almeida,SMB,2026-01-01,2026-01-31,2026-02-01,1385.84,1385.84,PIX,1,0,5000.00,0.00
INV-102599,CUST-01580,Refrigeração Cardoso ME,SMB,2026-01-01,2026-01-31,2026-02-02,50.00,50.00,BOLETO,1,1,20000.00,235.62
INV-102622,CUST-01557,Alimentos Costa Ltda,SMB,2026-01-01,2026-01-16,2026-01-15,2802.62,2802.62,BOLETO,1,0,10000.00,0.00
INV-102643,CUST-01589,Agro Fernandes,SMB,2026-01-01,2026-01-16,2026-01-13,370.87,370.87,PIX,1,0,5000.00,0.00
INV-102724,CUST-01538,Engenharia Barros,MID,2026-01-01,2026-01-31,2026-01-27,4309.51,4309.51,PIX,1,0,300000.00,1009.89
INV-102749,CUST-01257,Madeireira Ribeiro S.A.,SMB,2026-01-01,2026-01-31,2026-02-02,2019.17,2019.17,BOLETO,1,1,10000.00,685.98
INV-102825,CUST-01011,Mineração Santos Comercial,SMB,2026-01-01,2026-01-31,2026-01-31,371.94,371.94,PIX,1,0,15000.00,0.00
INV-102939,CUST-01115,Serviços Vargas S.A.,SMB,2026-01-01,2026-01-31,2026-02-02,2106.46,2106.46,PIX,1,3,5000.00,444.97
INV-102941,CUST-01183,Distribuidora Cardoso,SMB,2026-01-01,2026-01-31,,6981.89,5306.72,PIX,1,1,15000.00,0.00
INV-103083,CUST-01539,Gráfica Moreira Ltda,SMB,2026-01-01,2026-01-31,2026-03-17,4150.79,4150.79,PIX,1,1,5000.00,0.00
INV-103135,CUST-01481,Construtora Nogueira ME,SMB,2026-01-01,2026-01-31,2026-01-28,1799.29,1799.29,BOLETO,1,0,5000.00,839.86
INV-103167,CUST-01550,Agro Coelho do Brasil,SMB,2026-01-01,2026-01-31,,1907.13,1488.51,PIX,1,0,10000.00,2023.48
INV-103222,CUST-01336,Soluções Teixeira do Brasil,SMB,2026-01-01,2026-01-16,2026-01-15,1056.50,1056.50,BANK_TRANSFER,1,0,10000.00,0.00
INV-103357,CUST-01104,Refrigeração Ribeiro ME,MID,2026-01-01,2026-01-31,2026-01-28,23883.80,23883.80,BANK_TRANSFER,1,0,200000.00,375.13
INV-103456,CUST-01103,Varejo Costa ME,SMB,2026-01-01,2026-01-16,2026-02-26,2976.39,2976.39,CREDIT_CARD,2,0,10000.00,1486.55
INV-103575,CUST-01469,Madeireira Lima Ltda,SMB,2026-01-01,2026-01-31,,1169.89,0.00,BOLETO,2,0,15000.00,0.00
INV-103944,CUST-01025,Farma Pereira do Brasil,MID,2026-01-01,2026-02-15,2026-02-10,6318.42,6318.42,BOLETO,1,0,120000.00,3617.81
INV-104016,CUST-01209,Mineração Nogueira Eireli,SMB,2026-01-01,2026-01-31,2026-02-02,3028.15,3028.15,BOLETO,1,1,10000.00,0.00
INV-104107,CUST-01002,Climatização Souza ME,SMB,2026-01-01,2026-01-31,,675.64,116.82,BOLETO,6,0,50000.00,105.58
INV-104422,CUST-01109,Logística Moreira Comercial,SMB,2026-01-01,2026-01-31,2026-03-27,910.25,910.25,BOLETO,5,3,30000.00,1381.34
INV-104447,CUST-01315,Soluções Cardoso Eireli,SMB,2026-01-01,2026-01-31,2026-01-30,436.61,436.61,BOLETO,1,0,5000.00,0.00
INV-104949,CUST-01361,Editora Mendes Comercial,MID,2026-01-01,2026-01-16,2026-01-14,14254.28,14254.28,PIX,1,1,50000.00,0.00
INV-105066,CUST-01191,Importadora Nogueira Comercial,MID,2026-01-01,2026-01-31,2026-02-16,21773.24,21773.24,CREDIT_CARD,2,0,300000.00,7666.12
INV-105126,CUST-01378,Mineração Mendes do Brasil,MID,2026-01-01,2026-01-16,2026-01-11,11139.60,11139.60,PIX,1,1,80000.00,0.00
INV-105163,CUST-01385,Varejo Carvalho S.A.,SMB,2026-01-01,2026-02-15,2026-02-15,3510.42,3510.42,PIX,2,0,5000.00,0.00
INV-105227,CUST-01022,Tecnologia Gomes Ltda,MID,2026-01-01,2026-01-31,2026-02-02,3043.85,3043.85,BOLETO,1,0,80000.00,0.00
INV-105234,CUST-01045,Serviços Ribeiro Comercial,MID,2026-01-01,2026-01-16,2026-01-16,16637.92,16637.92,PIX,1,1,120000.00,0.00
INV-105441,CUST-01041,Agro Ferreira S.A.,SMB,2026-01-01,2026-01-31,2026-01-26,1426.30,1426.30,PIX,1,3,30000.00,0.00
INV-105533,CUST-01512,Logística Santos ME,SMB,2026-01-01,2026-01-16,2026-02-28,50.00,50.00,BOLETO,3,1,30000.00,0.00
INV-105692,CUST-01133,Comércio Almeida,SMB,2026-01-01,2026-01-16,2026-01-14,755.08,755.08,BOLETO,1,0,5000.00,0.00
INV-105708,CUST-01583,Mineração Rocha S.A.,ENT,2026-01-01,2026-01-31,2026-03-26,19749.64,19749.64,PIX,3,0,3000000.00,0.00
INV-105853,CUST-01418,Varejo Nogueira do Brasil,MID,2026-01-01,2026-02-15,2026-02-17,19063.68,19063.68,BOLETO,1,0,80000.00,0.00
INV-105861,CUST-01269,Distribuidora Andrade Ltda,SMB,2026-01-01,2026-02-15,2026-02-10,1115.34,1115.34,PIX,1,0,15000.00,0.00
INV-106028,CUST-01503,Indústria Gomes S.A.,SMB,2026-01-01,2026-01-31,2026-01-27,1226.88,1226.88,BOLETO,2,1,10000.00,0.00
